show_id,type,title,date_added,release_year,rating,duration
s199,Movie,The Happiest Millionaire,11-Jun-21,1967,G,170 min
s200,Movie,The Pacifier,11-Jun-21,2005,PG,97 min
s201,TV Show,Zenimation,11-Jun-21,2020,TV-G,2 Seasons
s202,TV Show,Loki,9-Jun-21,2021,TV-14,1 Season
s203,TV Show,Gordon Ramsay: Uncharted,4-Jun-21,2018,TV-14,3 Seasons
s204,TV Show,MUPPET BABIES,4-Jun-21,2017,TV-Y,3 Seasons
s205,Movie,Raya and the Last Dragon,4-Jun-21,2021,PG,112 min
s206,Movie,Red Tails,4-Jun-21,2012,PG-13,126 min
s207,Movie,Us Again,4-Jun-21,2021,G,7 min
s208,Movie,American Eid,28-May-21,2021,G,21 min
s209,TV Show,Bluey,28-May-21,2019,TV-Y,2 Seasons
s210,Movie,Dinner Is Served,28-May-21,2021,TV-PG,21 min
s211,TV Show,Disney Sydney To The Max,28-May-21,2018,TV-G,3 Seasons
s212,Movie,Growing Fangs,28-May-21,2021,TV-PG,20 min
s213,TV Show,Kingdom of the Polar Bears,28-May-21,2021,TV-PG,1 Season
s214,Movie,Let's Be Tigers,28-May-21,2021,PG,15 min
s215,Movie,The Last of the Chupacabras,28-May-21,2021,TV-PG,14 min
s216,Movie,The Little Prince(ss),28-May-21,2021,PG,19 min
s217,TV Show,Wicked Tuna,28-May-21,2016,TV-14,10 Seasons
s218,TV Show,Big City Greens,21-May-21,2017,TV-Y7,2 Seasons
s219,TV Show,Fury Files,21-May-21,2013,TV-Y7,1 Season
s220,TV Show,Ice Road Rescue,21-May-21,2015,TV-14,5 Seasons
s221,Movie,Tinker Bell and the Legend of the NeverBeast,21-May-21,2014,G,79 min
s222,TV Show,Schoolhouse Rock!,17-May-21,1973,TV-G,6 Seasons
s223,TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),14-May-21,2011,TV-Y,1 Season
s224,TV Show,Race to the Center of the Earth,14-May-21,2021,TV-14,1 Season
s225,TV Show,Special Agent Oso,14-May-21,2009,TV-Y,2 Seasons
s226,Movie,X-Men: The Last Stand,14-May-21,2006,PG-13,105 min
s227,TV Show,The Incredible Hulk,10-May-21,1996,TV-Y7,2 Seasons
s228,Movie,Fantastic Four: Rise of the Silver Surfer,7-May-21,2007,PG,93 min
s229,TV Show,Wander Over Yonder,7-May-21,2013,TV-Y7,2 Seasons
s230,Movie,Wild Hearts Can't Be Broken,7-May-21,1991,G,89 min
s231,Movie,"Maggie Simpson in ""The Force Awakens from its Nap""",4-May-21,2021,TV-PG,4 min
s232,Movie,Star Wars Biomes,4-May-21,2021,TV-G,18 min
s233,TV Show,Star Wars Vehicle Flythroughs,4-May-21,2021,TV-G,1 Season
s234,TV Show,The Bad Batch,4-May-21,2021,TV-PG,1 Season
s235,TV Show,Spider-Man,3-May-21,1994,TV-Y7,5 Seasons
s236,Movie,22 vs. Earth,30-Apr-21,2021,TV-PG,9 min
s237,TV Show,Adventures in Wonderland,30-Apr-21,1996,TV-G,1 Season
s238,Movie,Disney My Music Story SUKIMASWITCH,30-Apr-21,2020,TV-PG,81 min
s239,TV Show,DuckTales,30-Apr-21,2017,TV-Y7,3 Seasons
s240,Movie,Oklahoma!,30-Apr-21,1956,TV-PG,148 min
s241,Movie,Baby's Day Out,23-Apr-21,1994,PG,99 min
s242,Movie,Being the Queen,23-Apr-21,2020,TV-14,44 min
s243,TV Show,Liv and Maddie,23-Apr-21,2013,TV-G,4 Seasons
s244,TV Show,Secrets of the Whales,22-Apr-21,2021,TV-PG,1 Season
s245,TV Show,Big Shot,16-Apr-21,2021,TV-PG,1 Season
s246,TV Show,Earth Moods,16-Apr-21,2021,TV-G,1 Season
s247,TV Show,Primal Survivor,16-Apr-21,2014,TV-PG,5 Seasons
s248,Movie,Rio,16-Apr-21,2011,G,99 min
s249,Movie,The Kid Who Would Be King,16-Apr-21,2019,PG,121 min
s250,Movie,Treasure Buddies,16-Apr-21,2012,G,96 min
s251,Movie,White Fang 2: Myth of the White Wolf,16-Apr-21,1994,PG,106 min
s252,Movie,Cesar Millan: The Real Story,9-Apr-21,2012,TV-PG,45 min
s253,TV Show,Future-Worm!,9-Apr-21,2016,TV-Y7,1 Season
s254,TV Show,Kick Buttowski: Suburban Daredevil,9-Apr-21,2010,TV-Y7,2 Seasons
s255,Movie,Man of the House,9-Apr-21,1995,PG,97 min
s256,Movie,Mark Twain and Me,9-Apr-21,1991,TV-PG,93 min
s257,Movie,Squanto: A Warrior's Tale,9-Apr-21,1994,PG,102 min
s258,Movie,Caravan of Courage: An Ewok Adventure,2-Apr-21,1984,TV-PG,97 min
s259,Movie,Ewoks: The Battle for Endor,2-Apr-21,1985,TV-PG,97 min
s260,TV Show,Higglytown Heroes,2-Apr-21,2004,TV-Y,2 Seasons
s261,Movie,Island at the Top of the World,2-Apr-21,1974,G,94 min
s262,TV Show,Made in a Day,2-Apr-21,2020,TV-PG,1 Season
s263,Movie,Night at the Museum,2-Apr-21,2006,PG,109 min
s264,TV Show,Secrets Of The Zoo,2-Apr-21,2017,TV-PG,4 Seasons
s265,Movie,Sharks Of The Bermuda Triangle,2-Apr-21,2020,TV-PG,45 min
s266,TV Show,Star Wars Vintage: Clone Wars 2D Micro-Series,2-Apr-21,2021,TV-Y7-FV,1 Season
s267,Movie,Star Wars Vintage: Story of the Faithful Wookiee,2-Apr-21,2021,TV-Y7-FV,9 min
s268,TV Show,Star Wars: Ewoks,2-Apr-21,1985,TV-Y7-FV,2 Seasons
s269,Movie,The Big Year,2-Apr-21,2011,PG,101 min
s270,Movie,The Last Ice,2-Apr-21,2020,TV-14,82 min
s271,Movie,Third Man on the Mountain,2-Apr-21,1959,G,107 min
s272,TV Show,Walk the Prank,2-Apr-21,2016,TV-Y7,3 Seasons
s273,Movie,Gnomeo & Juliet,26-Mar-21,2011,G,86 min
s274,TV Show,Pickle and Peanut,26-Mar-21,2015,TV-Y7,2 Seasons
s275,TV Show,The Mighty Ducks: Game Changers,26-Mar-21,2021,TV-PG,1 Season
s276,TV Show,Disney Big Hero 6 The Series,19-Mar-21,2017,TV-G,3 Seasons
s277,Movie,Disney My Music Story: Perfume,19-Mar-21,2019,,53 min
s278,TV Show,Mexico Untamed,19-Mar-21,2018,TV-PG,1 Season
s279,TV Show,The Falcon and The Winter Soldier,19-Mar-21,2021,TV-14,1 Season
s280,Movie,Doc McStuffins: The Doc Is In,12-Mar-21,2020,TV-Y,24 min
s281,TV Show,Marvel Studios ASSEMBLED,12-Mar-21,2021,,1 Season
